"date_time","dd","ff","rh","t"
"2006-01-01 01:00:00",171,0.6,90,-0.4
"2006-01-01 02:00:00",268,0.3,100,-1.8
"2006-01-01 03:00:00",NA,NA,79,0.9
"2006-01-01 04:00:00",152,2.1,88,-0.6
"2006-01-01 05:00:00",319,0.7,100,-2.6
"2006-01-01 06:00:00",36,0.1,99,-1.7
"2006-01-01 07:00:00",338,1,100,-2.1
"2006-01-01 08:00:00",324,1.1,100,-2.7
"2006-01-01 09:00:00",303,0.2,100,-2.6
"2006-01-01 10:00:00",124,0.6,100,-2.6
"2006-01-01 11:00:00",134,1.4,100,-2.1
"2006-01-01 12:00:00",300,0.8,100,-2
"2006-01-01 13:00:00",NA,0,100,-1.9
"2006-01-01 14:00:00",303,0.8,100,-2.3
"2006-01-01 15:00:00",314,1.2,100,-2.5
"2006-01-01 16:00:00",15,0.4,100,-2.5
"2006-01-01 17:00:00",6,0.5,100,-2.1
"2006-01-01 18:00:00",304,0.3,100,-2.1
"2006-01-01 19:00:00",329,1.5,100,-1.9
"2006-01-01 20:00:00",334,1.1,100,-2
"2006-01-01 21:00:00",340,0.5,100,-2.1
"2006-01-01 22:00:00",327,0.6,100,-2
"2006-01-01 23:00:00",310,1.5,100,-2.4
"2006-01-02 00:00:00",303,0.9,100,-2.5
"2006-01-02 01:00:00",313,1,100,-2.5
"2006-01-02 02:00:00",312,1.5,100,-2.5
"2006-01-02 03:00:00",318,2.6,100,-2.4
"2006-01-02 04:00:00",318,2.7,100,-2.5
"2006-01-02 05:00:00",318,1.7,100,-2.5
"2006-01-02 06:00:00",315,2.4,100,-2.5
"2006-01-02 07:00:00",310,1.6,100,-2.5
"2006-01-02 08:00:00",324,1.7,100,-2.4
"2006-01-02 09:00:00",307,1.7,100,-2.1
"2006-01-02 10:00:00",307,2,100,-2
"2006-01-02 11:00:00",309,2.2,100,-1.9
"2006-01-02 12:00:00",299,2.6,100,-2
"2006-01-02 13:00:00",319,4,100,-2.2
"2006-01-02 14:00:00",331,4.8,100,-2.2
"2006-01-02 15:00:00",333,4.8,100,-2.5
"2006-01-02 16:00:00",328,2.6,100,-2.5
"2006-01-02 17:00:00",326,4,100,-2.9
"2006-01-02 18:00:00",317,3.1,100,-2.9
"2006-01-02 19:00:00",326,4.4,100,-3
"2006-01-02 20:00:00",328,6.3,100,-3
"2006-01-02 21:00:00",326,5.3,100,-3
"2006-01-02 22:00:00",329,4.5,100,-3
"2006-01-02 23:00:00",339,4.6,100,-2.9
"2006-01-03 00:00:00",325,4.4,100,-3.1
"2006-01-03 01:00:00",329,4.1,100,-3
"2006-01-03 02:00:00",324,0.7,100,-3.3
"2006-01-03 03:00:00",321,0.8,100,-3.3
"2006-01-03 04:00:00",298,0.9,100,-3.4
"2006-01-03 05:00:00",312,1,100,-3.4
"2006-01-03 06:00:00",314,1.6,100,-3.3
"2006-01-03 07:00:00",303,1.1,100,-3.4
"2006-01-03 08:00:00",324,1.5,100,-3.4
"2006-01-03 09:00:00",293,1,100,-2.9
"2006-01-03 10:00:00",318,1.5,100,-3
"2006-01-03 11:00:00",303,1.4,100,-2.9
"2006-01-03 12:00:00",305,1.6,100,-2.8
"2006-01-03 13:00:00",302,1.7,100,-2.6
"2006-01-03 14:00:00",302,1.9,100,-2.8
"2006-01-03 15:00:00",307,1,100,-3.1
"2006-01-03 16:00:00",324,1.2,100,-3.6
"2006-01-03 17:00:00",298,1,100,-3.6
"2006-01-03 18:00:00",346,0.9,100,-3.7
"2006-01-03 19:00:00",308,0.6,100,-3.8
"2006-01-03 20:00:00",320,1.6,100,-4
"2006-01-03 21:00:00",303,2.1,100,-3.9
"2006-01-03 22:00:00",306,2.1,100,-4
"2006-01-03 23:00:00",301,1.7,100,-4.1
"2006-01-04 00:00:00",309,1.4,100,-4.2
"2006-01-04 01:00:00",295,0.8,100,-4.3
"2006-01-04 02:00:00",304,1.4,100,-4.6
"2006-01-04 03:00:00",359,1.4,100,-5.6
"2006-01-04 04:00:00",357,1.2,100,-5.6
"2006-01-04 05:00:00",343,0.5,100,-5.7
"2006-01-04 06:00:00",140,0.7,100,-5.7
"2006-01-04 07:00:00",141,2,100,-5.6
"2006-01-04 08:00:00",147,2.2,100,-5.6
"2006-01-04 09:00:00",142,3.2,96,-5.5
"2006-01-04 10:00:00",116,1.7,95,-5.2
"2006-01-04 11:00:00",NA,NA,98,-3.9
"2006-01-04 12:00:00",NA,NA,98,-3.6
"2006-01-04 13:00:00",NA,NA,100,-4.6
"2006-01-04 14:00:00",310,0.6,100,-4.2
"2006-01-04 15:00:00",304,0.2,100,-4.3
"2006-01-04 16:00:00",155,1.1,100,-4.4
"2006-01-04 17:00:00",128,1.4,100,-4.6
"2006-01-04 18:00:00",94,2.1,90,-5
"2006-01-04 19:00:00",101,3.6,90,-5.8
"2006-01-04 20:00:00",117,3.3,93,-6.9
"2006-01-04 21:00:00",124,4.6,91,-6.9
"2006-01-04 22:00:00",130,3,97,-7.7
"2006-01-04 23:00:00",131,2.5,96,-7.6
"2006-01-05 00:00:00",132,3,99,-8.1
"2006-01-05 01:00:00",122,2.2,95,-7.6
"2006-01-05 02:00:00",120,1.6,98,-7.8
"2006-01-05 03:00:00",338,2.2,99,-7.9
"2006-01-05 04:00:00",335,1.8,99,-8.2
